===============================================================================
Id,accdaily1,len,datetime,open,high,low,close,volume,openinterest,MovingAverage,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown,BuySell,len,buy,sell
268,accdaily1,268,2019-01-31 23:59:59.999989,1391.05,1428.8,1391.05,1423.35,837929.0,,MovingAverage,268,737090.9999999999,Broker,268,993178.8999999999,993178.8999999999,BuySell,268,,,Trades - Net Profit/Loss,268,,,Trades - Net Profit/Loss,268,,,DrawDown,268,0.9630283700284237,1.0169354625604543,BuySell,268,,
269,accdaily1,269,2019-02-01 23:59:59.999989,1416.3,1448.0,1401.25,1415.55,568663.0,,MovingAverage,269,737091.9999999999,Broker,269,993178.8999999999,993178.8999999999,BuySell,269,,,Trades - Net Profit/Loss,269,,,Trades - Net Profit/Loss,269,,,DrawDown,269,0.9630283700284237,1.0169354625604543,BuySell,269,,
270,accdaily1,270,2019-02-04 23:59:59.999989,1411.0,1416.7,1390.0,1406.1,531657.0,,MovingAverage,270,737094.9999999999,Broker,270,993178.8999999999,993178.8999999999,BuySell,270,,,Trades - Net Profit/Loss,270,,,Trades - Net Profit/Loss,270,,,DrawDown,270,0.9630283700284237,1.0169354625604543,BuySell,270,,
271,accdaily1,271,2019-02-05 23:59:59.999989,1400.0,1436.45,1356.2,1388.8,2027916.0,,MovingAverage,271,737095.9999999999,Broker,271,993178.8999999999,993178.8999999999,BuySell,271,,,Trades - Net Profit/Loss,271,,,Trades - Net Profit/Loss,271,,,DrawDown,271,0.9630283700284237,1.0169354625604543,BuySell,271,,
272,accdaily1,272,2019-02-05 23:59:59.999989,1400.0,1436.45,1356.2,1388.8,2027916.0,,MovingAverage,272,737095.9999999999,Broker,272,993178.8999999999,993178.8999999999,BuySell,272,,,Trades - Net Profit/Loss,272,,,Trades - Net Profit/Loss,272,,,DrawDown,272,0.9630283700284237,1.0169354625604543,BuySell,272,,
273,accdaily1,273,2019-02-06 23:59:59.999989,1404.7,1414.0,1374.0,1401.45,1287668.0,,MovingAverage,273,737096.9999999999,Broker,273,993178.8999999999,993178.8999999999,BuySell,273,,,Trades - Net Profit/Loss,273,,,Trades - Net Profit/Loss,273,,,DrawDown,273,0.9630283700284237,1.0169354625604543,BuySell,273,,
274,accdaily1,274,2019-02-07 23:59:59.999989,1407.4,1441.7,1401.55,1421.6,829367.0,,MovingAverage,274,737097.9999999999,Broker,274,993178.8999999999,993178.8999999999,BuySell,274,,,Trades - Net Profit/Loss,274,,,Trades - Net Profit/Loss,274,,,DrawDown,274,0.9630283700284237,1.0169354625604543,BuySell,274,,
275,accdaily1,275,2019-02-08 23:59:59.999989,1419.0,1438.0,1388.9,1395.45,562187.0,,MovingAverage,275,737098.9999999999,Broker,275,993178.8999999999,993178.8999999999,BuySell,275,,,Trades - Net Profit/Loss,275,,,Trades - Net Profit/Loss,275,,,DrawDown,275,0.9630283700284237,1.0169354625604543,BuySell,275,,
276,accdaily1,276,2019-02-11 23:59:59.999989,1396.0,1399.45,1364.4,1368.3,1133028.0,,MovingAverage,276,737101.9999999999,Broker,276,993178.8999999999,993178.8999999999,BuySell,276,,,Trades - Net Profit/Loss,276,,,Trades - Net Profit/Loss,276,,,DrawDown,276,0.9630283700284237,1.0169354625604543,BuySell,276,,
277,accdaily1,277,2019-02-12 23:59:59.999989,1368.0,1383.85,1356.45,1374.9,686009.0,,MovingAverage,277,737102.9999999999,Broker,277,1042426.8999999999,992930.4999999999,BuySell,277,,1404.6077499999997,Trades - Net Profit/Loss,277,,,Trades - Net Profit/Loss,277,,,DrawDown,277,0.987798110659127,1.0169354625604543,BuySell,277,,1368.0
